GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime,gameTimeRemaining,courtDistance,lateGameShot,cornerThree
Shot Chart Detail,22200014,66,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,7,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-6.0,16.0,1,1,20221019,SAC,POR,1970,,,,,425,17.08800749063506,0,0
Shot Chart Detail,22200014,406,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,22.0,4.0,1,1,20221019,SAC,POR,1970,,,,,1946,22.360679774997898,0,0
Shot Chart Detail,22200014,587,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,6,50,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,0.0,1,1,20221019,SAC,POR,1970,,,,,2570,5.0,0,0
Shot Chart Detail,22200027,11,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,49,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-1.0,10.0,1,1,20221021,POR,PHX,1970,,,,,649,10.04987562112089,0,0
Shot Chart Detail,22200027,31,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,8,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-1.0,38.0,1,1,20221021,POR,PHX,1970,,,,,531,38.01315561749642,0,0
Shot Chart Detail,22200027,257,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-1.0,-1.0,1,1,20221021,POR,PHX,1970,,,,,1049,1.4142135623730951,0,0
Shot Chart Detail,22200027,540,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,8,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,16.0,11.0,1,1,20221021,POR,PHX,1970,,,,,2649,19.4164878389476,0,0
Shot Chart Detail,22200027,586,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,5,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,27.0,5.0,1,1,20221021,POR,PHX,1970,,,,,2460,27.459060435491963,0,0
Shot Chart Detail,22200037,34,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,9,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-9.0,20.0,1,1,20221023,LAL,POR,1970,,,,,582,21.93171219946131,0,0
Shot Chart Detail,22200037,95,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,5,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,18.0,16.0,1,1,20221023,LAL,POR,1970,,,,,337,24.08318915758459,0,0
Shot Chart Detail,22200037,254,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,8,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-22.0,13.0,1,1,20221023,LAL,POR,1970,,,,,1227,25.553864678361276,0,0
Shot Chart Detail,22200037,629,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,5,6,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,1.0,16.0,1,1,20221023,LAL,POR,1970,,,,,2466,16.0312195418814,0,0
Shot Chart Detail,22200037,643,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,4,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-5.0,29.0,1,1,20221023,LAL,POR,1970,,,,,2417,29.427877939124322,0,0
Shot Chart Detail,22200051,13,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,11,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-13.0,11.0,1,1,20221024,POR,DEN,1970,,,,,676,17.029386365926403,0,0
Shot Chart Detail,22200051,68,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,5,41,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,1.0,4.0,1,1,20221024,POR,DEN,1970,,,,,341,4.123105625617661,0,0
Shot Chart Detail,22200051,291,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-11.0,4.0,1,1,20221024,POR,DEN,1970,,,,,789,11.704699910719626,0,0
Shot Chart Detail,22200051,314,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,0,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,8.0,1,1,20221024,POR,DEN,1970,,,,,720,9.433981132056603,0,0
Shot Chart Detail,22200051,436,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,2,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-7.0,8.0,1,1,20221024,POR,DEN,1970,,,,,1564,10.63014581273465,0,0
Shot Chart Detail,22200065,332,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,23,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-2.0,21.0,1,1,20221026,POR,MIA,1970,,,,,803,21.095023109728988,0,0
Shot Chart Detail,22200150,551,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,2,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-23.0,8.0,1,1,20221107,MIA,POR,1970,,,,,2301,24.351591323771842,0,0
Shot Chart Detail,22200190,335,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,7.0,5.0,1,1,20221112,DAL,POR,1970,,,,,1963,8.602325267042627,0,0
Shot Chart Detail,22200190,587,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,3,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,6.0,1,1,20221112,DAL,POR,1970,,,,,2379,7.810249675906654,0,0
Shot Chart Detail,22200190,600,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,1,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-12.0,8.0,1,1,20221112,DAL,POR,1970,,,,,2260,14.422205101855956,0,0
Shot Chart Detail,22200209,61,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,6,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-10.0,4.0,1,1,20221115,POR,SAS,1970,,,,,408,10.770329614269007,0,0
Shot Chart Detail,22200209,210,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,8,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-17.0,5.0,1,1,20221115,POR,SAS,1970,,,,,1226,17.72004514666935,0,0
Shot Chart Detail,22200209,256,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-23.0,22.0,1,1,20221115,POR,SAS,1970,,,,,1057,31.827660925679098,0,0
Shot Chart Detail,22200209,571,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,7,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,4.0,21.0,1,1,20221115,POR,SAS,1970,,,,,2591,21.37755832643195,0,0
Shot Chart Detail,22200221,54,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,7,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-2.0,-6.0,1,1,20221117,POR,BKN,1970,,,,,477,6.324555320336759,0,0
Shot Chart Detail,22200221,332,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-1.0,0.0,1,1,20221117,POR,BKN,1970,,,,,720,1.0,0,0
Shot Chart Detail,22200221,411,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,6,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,5.0,16.0,1,1,20221117,POR,BKN,1970,,,,,1812,16.76305461424021,0,0
Shot Chart Detail,22200221,658,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,2,36,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,22.0,10.0,1,1,20221117,POR,BKN,1970,,,,,2316,24.166091947189145,0,0
Shot Chart Detail,22200221,668,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,1,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-6.0,0.0,1,1,20221117,POR,BKN,1970,,,,,2245,6.0,0,0
Shot Chart Detail,22200351,37,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,8,41,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,7.0,8.0,1,1,20221204,POR,IND,1970,,,,,521,10.63014581273465,0,0
Shot Chart Detail,22200394,82,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,5,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,1.0,11.0,1,1,20221210,POR,MIN,1970,,,,,336,11.045361017187261,0,0
Shot Chart Detail,22200394,580,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,5,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-1.0,6.0,1,1,20221210,POR,MIN,1970,,,,,2473,6.082762530298219,0,0
Shot Chart Detail,22200407,306,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,2,6,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,4.0,0.0,1,1,20221212,POR,MIN,1970,,,,,846,4.0,0,0
Shot Chart Detail,22200407,478,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,1,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-2.0,11.0,1,1,20221212,POR,MIN,1970,,,,,1540,11.180339887498949,0,0
