GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime
Shot Chart Detail,22200014,66,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,7,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-6.0,16.0,1,1,20221019,SAC,POR,1970,,,,
Shot Chart Detail,22200014,312,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,3,30,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,27.0,52.0,1,1,20221019,SAC,POR,1970,,,,
Shot Chart Detail,22200014,326,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,2,3,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-36.0,265.0,1,1,20221019,SAC,POR,1970,,,,
Shot Chart Detail,22200014,406,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,22.0,4.0,1,1,20221019,SAC,POR,1970,,,,
Shot Chart Detail,22200014,587,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,6,50,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,0.0,1,1,20221019,SAC,POR,1970,,,,
Shot Chart Detail,22200027,11,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,49,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-1.0,10.0,1,1,20221021,POR,PHX,1970,,,,
Shot Chart Detail,22200027,31,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,8,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-1.0,38.0,1,1,20221021,POR,PHX,1970,,,,
Shot Chart Detail,22200027,52,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,6,35,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,163.0,220.0,1,1,20221021,POR,PHX,1970,,,,
Shot Chart Detail,22200027,133,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,1,19,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,196.0,176.0,1,1,20221021,POR,PHX,1970,,,,
Shot Chart Detail,22200027,257,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-1.0,-1.0,1,1,20221021,POR,PHX,1970,,,,
Shot Chart Detail,22200027,297,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,2,50,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19.0,173.0,99.0,1,1,20221021,POR,PHX,1970,,,,
Shot Chart Detail,22200027,326,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,47,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28.0,102.0,266.0,1,1,20221021,POR,PHX,1970,,,,
